,classifier,classifier__C,classifier__penalty,classifier__solver,Accuracy,Precision,ROC AUC,F1,class_weight,criterion,max_features,n_estimators,n_jobs,Accuracy,Precision,ROC AUC,F1,classifier,classifier__criterion,classifier__min_samples_leaf,classifier__splitter,Accuracy,Precision,ROC AUC,F1
34,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l2,saga,0.8497999999999999,0.43412021857923494,0.909492551171034,0.5650210370164427,,,,,,,,,,,,,,,,,
35,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",100.0,l2,sag,0.8497999999999999,0.43412021857923494,0.909433784987636,0.5650210370164427,,,,,,,,,,,,,,,,,
36,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",100.0,l2,saga,0.8497999999999999,0.43412021857923494,0.9094262227456069,0.5650210370164427,,,,,,,,,,,,,,,,,
37,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1000.0,l2,sag,0.8497999999999999,0.43412021857923494,0.9094356924425766,0.5650210370164427,,,,,,,,,,,,,,,,,
38,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1000.0,l2,saga,0.8497999999999999,0.43412021857923494,0.9094281302005471,0.5650210370164427,,,,,,,,,,,,,,,,,
39,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10000.0,l2,sag,0.8497999999999999,0.43412021857923494,0.9094394803213645,0.5650210370164427,,,,,,,,,,,,,,,,,
40,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10000.0,l2,saga,0.8497999999999999,0.43412021857923494,0.9094319045637886,0.5650210370164427,,,,,,,,,,,,,,,,,
0,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l1,saga,0.7236,0.0252,0.5,0.044760213143872116,balanced,gini,1.0,1024.0,-1.0,0.8886000000000001,0.7537549332388042,0.8748003296516383,0.28549397046668534,DecisionTreeClassifier(class_weight='balanced'),gini,1.0,best,0.8577999999999999,0.440099383306923,0.6785668715022881,0.43865930059415276
1,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l1,saga,0.5744,0.0506,0.5,0.08983563461680913,balanced,gini,2.0,1024.0,-1.0,0.891,0.7452970980666744,0.8882233767878498,0.328731946205285,DecisionTreeClassifier(class_weight='balanced'),gini,2.0,best,0.85,0.42382513572723435,0.7135236491809043,0.4654593782138483
2,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l1,saga,0.7236,0.0252,0.5,0.044760213143872116,balanced,gini,4.0,1024.0,-1.0,0.893,0.7212414466121622,0.904902446360498,0.3717648186429961,DecisionTreeClassifier(class_weight='balanced'),gini,4.0,best,0.8312000000000002,0.39976486246672577,0.7639065306331625,0.4932702098586449
3,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l1,saga,0.5744,0.0506,0.5,0.08983563461680913,balanced,gini,6.0,1024.0,-1.0,0.8950000000000001,0.7106735031177221,0.909587805009948,0.4115794446131525,DecisionTreeClassifier(class_weight='balanced'),gini,6.0,best,0.8106,0.36950857858778263,0.7890143140680393,0.4804051156385512
4,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l1,saga,0.5748,0.0508,0.5,0.090150842945874,balanced,gini,8.0,1024.0,-1.0,0.8964000000000001,0.6948576044049675,0.9120296836258841,0.4407329783618444,DecisionTreeClassifier(class_weight='balanced'),gini,8.0,best,0.8230000000000001,0.3933183450697492,0.8143940323591095,0.5035948377055983
5,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l1,saga,0.8188000000000001,0.3643501809136872,0.8213808189874259,0.4430621495718235,balanced,gini,12.0,1024.0,-1.0,0.8954000000000001,0.6578363781056044,0.9109754197372336,0.4672990941851469,DecisionTreeClassifier(class_weight='balanced'),gini,10.0,best,0.8131999999999999,0.3772799828395049,0.8168442832682906,0.4925888809472941
6,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l1,saga,0.8374,0.4156392657613135,0.8695637735061126,0.5171974679650164,balanced,gini,16.0,1024.0,-1.0,0.897,0.6583636114207637,0.910480921713798,0.4878045458293288,DecisionTreeClassifier(class_weight='balanced'),gini,12.0,best,0.806,0.3689364763917403,0.8244325652085251,0.4891731712869817
7,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l1,saga,0.8436,0.43678673577462634,0.9050589218528436,0.5641974771619436,balanced,gini,20.0,1024.0,-1.0,0.8974,0.6531206247704313,0.9085282978602407,0.4998665177981345,DecisionTreeClassifier(class_weight='balanced'),gini,14.0,best,0.8075999999999999,0.3715128739870771,0.831552020103741,0.49241404691334767
8,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l1,saga,0.8423999999999999,0.43430405495707813,0.9029560325106099,0.5625600433053191,balanced,entropy,1.0,1024.0,-1.0,0.8896,0.7516954150081085,0.874527145659318,0.3015915735759224,DecisionTreeClassifier(class_weight='balanced'),gini,16.0,best,0.8093999999999999,0.37454700062524565,0.8383900025984922,0.4986089037149963
9,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l1,saga,0.842,0.4335454575208913,0.9026222746302128,0.5615235451162202,balanced,entropy,2.0,1024.0,-1.0,0.8917999999999999,0.7499818501451989,0.8885277609513702,0.33669462215622054,DecisionTreeClassifier(class_weight='balanced'),gini,18.0,best,0.812,0.3836211843287694,0.8508453706020005,0.5176346237596606
10,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",100.0,l1,saga,0.8413999999999999,0.432397739864368,0.9025481557309287,0.5605615006560006,balanced,entropy,4.0,1024.0,-1.0,0.8936000000000002,0.7242668770778019,0.9042447960182523,0.37874569530916286,DecisionTreeClassifier(class_weight='balanced'),gini,20.0,best,0.79,0.3557670254744888,0.8574357362215945,0.49263093013228554
11,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1000.0,l1,saga,0.8413999999999999,0.432397739864368,0.9025355406796756,0.5605615006560006,balanced,entropy,6.0,1024.0,-1.0,0.8958,0.7074089068825911,0.9098840758330862,0.4252287179015009,DecisionTreeClassifier(class_weight='balanced'),entropy,1.0,best,0.8593999999999999,0.4469318785392094,0.6836013537480714,0.4471906675487961
12,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10000.0,l1,saga,0.8413999999999999,0.432397739864368,0.9025355406796756,0.5605615006560006,balanced,entropy,8.0,1024.0,-1.0,0.8962,0.6845761887980167,0.9135000358199699,0.4486075589656152,DecisionTreeClassifier(class_weight='balanced'),entropy,2.0,best,0.8514000000000002,0.42849742951536796,0.7090597541994362,0.46539346048694014
13,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",,none,sag,0.8413999999999999,0.432397739864368,0.9025409646106629,0.5605615006560006,balanced,entropy,12.0,1024.0,-1.0,0.8958,0.6553705307993575,0.9127597809887107,0.47552689331889264,DecisionTreeClassifier(class_weight='balanced'),entropy,4.0,best,0.8304,0.3990703417395186,0.7643199931432998,0.49541267434989267
14,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",,none,saga,0.8413999999999999,0.432397739864368,0.9025355406796756,0.5605615006560006,balanced,entropy,16.0,1024.0,-1.0,0.8972,0.651561854444287,0.9116975006919341,0.49683228539708024,DecisionTreeClassifier(class_weight='balanced'),entropy,6.0,best,0.8221999999999999,0.3877065574188739,0.7945695321666617,0.4969255095195358
15,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l2,sag,0.5748,0.0508,0.8623149495789069,0.090150842945874,balanced,entropy,20.0,1024.0,-1.0,0.8968,0.6439492252597242,0.909895921913014,0.5056062811219433,DecisionTreeClassifier(class_weight='balanced'),entropy,8.0,best,0.8261999999999998,0.39631608959061887,0.8117421669279945,0.5051290863290238
16,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l2,saga,0.3832,0.1286663677130045,0.8622697419964688,0.21690165708896805,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,10.0,best,0.8141999999999999,0.3815791807096155,0.827823284560236,0.5021536136047293
17,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l2,sag,0.7332000000000001,0.48257671875349323,0.8622788104328498,0.41426258298560903,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,12.0,best,0.8116,0.37842018710046527,0.8348820213852518,0.5022069454010647
18,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l2,saga,0.5801999999999999,0.5740285714285714,0.8622932293823272,0.19192330059025337,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,14.0,best,0.8098000000000001,0.376360617244251,0.8457685392802038,0.5016546726419282
19,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l2,sag,0.8630000000000001,0.46744660999377985,0.8623763555364162,0.5137192553725728,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,16.0,best,0.8130000000000001,0.37891117549910075,0.8514525301484452,0.5017504332151133
20,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l2,saga,0.8624,0.465523906131091,0.8623763555364162,0.5112877004726308,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,18.0,best,0.8084000000000001,0.3738743367758801,0.8456736127480868,0.5006006334619288
21,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l2,sag,0.8615999999999999,0.4636667601190223,0.8629923658455146,0.5121900061232194,,,,,,,,,,DecisionTreeClassifier(class_weight='balanced'),entropy,20.0,best,0.7992000000000001,0.362975007717646,0.8519558503339907,0.49224491617719135
22,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l2,saga,0.8623999999999998,0.4661148339955288,0.8629869419145273,0.5136307375821445,,,,,,,,,,,,,,,,,
23,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l2,sag,0.8624,0.4668159506897679,0.8677600726847737,0.5223430649477379,,,,,,,,,,,,,,,,,
24,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l2,saga,0.8624,0.4668159506897679,0.8677582687865497,0.5223430649477379,,,,,,,,,,,,,,,,,
25,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l2,sag,0.8572,0.4582014718311343,0.8814840001967363,0.5451164383236162,,,,,,,,,,,,,,,,,
26,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l2,saga,0.8573999999999999,0.45861350119414634,0.881480380163973,0.5454312109275454,,,,,,,,,,,,,,,,,
27,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l2,sag,0.8488,0.4450765152823532,0.8976635574366693,0.5593766959452294,,,,,,,,,,,,,,,,,
28,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l2,saga,0.8488,0.4450765152823532,0.8976653735712086,0.5593766959452294,,,,,,,,,,,,,,,,,
29,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l2,sag,0.8448,0.439351782560408,0.9035598979083239,0.56760218721315,,,,,,,,,,,,,,,,,
30,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l2,saga,0.8448,0.439351782560408,0.9035562901118759,0.56760218721315,,,,,,,,,,,,,,,,,
31,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l2,sag,0.842,0.43338105863071713,0.9029704759327176,0.5614321251148887,,,,,,,,,,,,,,,,,
32,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l2,saga,0.842,0.43338105863071713,0.9029704636964023,0.5614321251148887,,,,,,,,,,,,,,,,,
33,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l2,sag,0.8416,0.4327719007535503,0.9025878659644885,0.5608754434076164,,,,,,,,,,,,,,,,,
34,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l2,saga,0.8416,0.4327719007535503,0.9025914737609366,0.5608754434076164,,,,,,,,,,,,,,,,,
35,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",100.0,l2,sag,0.8413999999999999,0.432397739864368,0.9025518002363224,0.5605615006560006,,,,,,,,,,,,,,,,,
36,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",100.0,l2,saga,0.8413999999999999,0.432397739864368,0.9025536041345467,0.5605615006560006,,,,,,,,,,,,,,,,,
37,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1000.0,l2,sag,0.8413999999999999,0.432397739864368,0.9025391607124389,0.5605615006560006,,,,,,,,,,,,,,,,,
38,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1000.0,l2,saga,0.8413999999999999,0.432397739864368,0.9025337367814515,0.5605615006560006,,,,,,,,,,,,,,,,,
39,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10000.0,l2,sag,0.8413999999999999,0.432397739864368,0.9025391607124389,0.5605615006560006,,,,,,,,,,,,,,,,,
40,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10000.0,l2,saga,0.8413999999999999,0.432397739864368,0.9025355406796756,0.5605615006560006,,,,,,,,,,,,,,,,,
0,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l1,saga,0.5746,0.0504,0.5,0.08952042628774423,balanced,gini,1.0,1024.0,-1.0,0.8798,0.6374481658692185,0.8738875372478226,0.18872443991614904,DecisionTreeClassifier(class_weight='balanced'),gini,1.0,best,0.8625999999999999,0.4530516758065046,0.677948048020101,0.44056050374114875
1,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l1,saga,0.575,0.0506,0.5,0.08983563461680913,balanced,gini,2.0,1024.0,-1.0,0.882,0.6367141942225368,0.8879409348436885,0.24743559856941855,DecisionTreeClassifier(class_weight='balanced'),gini,2.0,best,0.8552,0.4387211170721284,0.7214714481403923,0.48061008328829996
2,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l1,saga,0.5746,0.0504,0.5,0.08952042628774423,balanced,gini,4.0,1024.0,-1.0,0.8846,0.6416153187847667,0.9017798527590337,0.3004319064448136,DecisionTreeClassifier(class_weight='balanced'),gini,4.0,best,0.8276,0.3945369313248671,0.77579994844177,0.49879857054545107
3,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l1,saga,0.42539999999999994,0.0758,0.5,0.13459584776068123,balanced,gini,6.0,1024.0,-1.0,0.8880000000000001,0.6516893980723768,0.9073500069757318,0.35771166805929644,DecisionTreeClassifier(class_weight='balanced'),gini,6.0,best,0.8230000000000001,0.39036492808111445,0.8121606177268135,0.5033481559232588
4,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l1,saga,0.575,0.0506,0.5,0.08983563461680913,balanced,gini,8.0,1024.0,-1.0,0.8892,0.6416650518673539,0.9093061384501204,0.39116157651319095,DecisionTreeClassifier(class_weight='balanced'),gini,8.0,best,0.8291999999999999,0.40467604385377187,0.8382298355720232,0.5234101828507588
5,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l1,saga,0.8229999999999998,0.36884825462790405,0.8118435354377797,0.4461652528700467,balanced,gini,12.0,1024.0,-1.0,0.8894000000000002,0.6201841385672038,0.9103817093754312,0.42923159365705654,DecisionTreeClassifier(class_weight='balanced'),gini,10.0,best,0.8200000000000001,0.3932197337081067,0.8450742577593475,0.522322808115774
6,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l1,saga,0.8425999999999998,0.42502160978462145,0.8733792440321331,0.5268811254825239,balanced,gini,16.0,1024.0,-1.0,0.8896000000000001,0.6089437202988953,0.90964229884992,0.4463775172852367,DecisionTreeClassifier(class_weight='balanced'),gini,12.0,best,0.8086,0.37925301960509805,0.8553434894513485,0.5163927724206011
7,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l1,saga,0.8475999999999999,0.44371948807351824,0.9043407007184566,0.572231948817877,balanced,gini,20.0,1024.0,-1.0,0.891,0.614348370677206,0.908961902082299,0.4589168853192486,DecisionTreeClassifier(class_weight='balanced'),gini,14.0,best,0.8097999999999999,0.38096829670621696,0.8563038529629644,0.517462986220021
