,classifier,classifier__C,classifier__penalty,classifier__solver,Accuracy,Precision,ROC AUC,F1,class_weight,criterion,max_features,n_estimators,n_jobs,Accuracy,Precision,ROC AUC,F1,classifier,classifier__criterion,classifier__min_samples_leaf,classifier__splitter,Accuracy,Precision,ROC AUC,F1
31,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l2,sag,0.8144,0.5858803427238705,0.9053665006146083,0.6899515917394883,,,,,,,,,,,,,,,,,
32,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l2,saga,0.8144,0.5858803427238705,0.9053675788747277,0.6899515917394883,,,,,,,,,,,,,,,,,
33,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l2,sag,0.8150000000000001,0.5869728731309933,0.9042871622350177,0.6906857432596707,,,,,,,,,,,,,,,,,
34,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l2,saga,0.8148,0.5866080154084556,0.9043195100386017,0.6904385815766613,,,,,,,,,,,,,,,,,
35,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",100.0,l2,sag,0.8126,0.5836446006232572,0.9023020853550712,0.6864497697793871,,,,,,,,,,,,,,,,,
36,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",100.0,l2,saga,0.8128,0.5838675431212421,0.9027452502641738,0.6868855147758525,,,,,,,,,,,,,,,,,
37,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1000.0,l2,sag,0.8128,0.5840942799552241,0.9012809730219319,0.6864825068705711,,,,,,,,,,,,,,,,,
38,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1000.0,l2,saga,0.8126,0.5836446006232572,0.9022039636841992,0.6864497697793871,,,,,,,,,,,,,,,,,
39,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10000.0,l2,sag,0.8128,0.5840942799552241,0.9011192340040111,0.6864825068705711,,,,,,,,,,,,,,,,,
40,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10000.0,l2,saga,0.8128,0.5840085819929313,0.9021241724353584,0.6866951314552887,,,,,,,,,,,,,,,,,
0,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l1,saga,0.45059999999999995,0.153,0.5,0.24382470119521912,balanced,gini,1.0,1024.0,-1.0,0.8328,0.720633163362524,0.8864705308277513,0.6346419840069897,DecisionTreeClassifier(class_weight='balanced'),gini,1.0,best,0.8034000000000001,0.6174221390637544,0.7403776600486482,0.6139837698935039
1,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l1,saga,0.45099999999999996,0.1532,0.5,0.24407846321719492,balanced,gini,2.0,1024.0,-1.0,0.8333999999999999,0.7194809026143176,0.8885644689195363,0.6377358632279637,DecisionTreeClassifier(class_weight='balanced'),gini,2.0,best,0.7886,0.5738529492887204,0.7718316167864432,0.6251923268407096
