,classifier,classifier__C,classifier__penalty,classifier__solver,Accuracy,Precision,ROC AUC,F1,class_weight,criterion,max_features,n_estimators,n_jobs,Accuracy,Precision,ROC AUC,F1,classifier,classifier__criterion,classifier__min_samples_leaf,classifier__splitter,Accuracy,Precision,ROC AUC,F1
36,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",100.0,l2,saga,0.7248,0.7155886613907252,0.8108001860551441,0.7299895594139507,,,,,,,,,,,,,,,,,
37,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1000.0,l2,sag,0.7248,0.7155886613907252,0.810792186023144,0.7299895594139507,,,,,,,,,,,,,,,,,
38,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1000.0,l2,saga,0.7248,0.7155886613907252,0.8108017860615442,0.7299895594139507,,,,,,,,,,,,,,,,,
39,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10000.0,l2,sag,0.7248,0.7155886613907252,0.8107945860295441,0.7299895594139507,,,,,,,,,,,,,,,,,
40,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10000.0,l2,saga,0.7248,0.7155886613907252,0.8107969860359441,0.7299895594139507,,,,,,,,,,,,,,,,,
0,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-08,l1,saga,0.4984,0.29500000000000004,0.5,0.39553064589503056,balanced,gini,1.0,1024.0,-1.0,0.9334000000000001,0.9437089423213656,0.9872732083884763,0.9313874029924885,DecisionTreeClassifier(class_weight='balanced'),gini,1.0,best,0.8794000000000001,0.8762025479720744,0.8794174038974634,0.877629608795137
1,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-07,l1,saga,0.4984,0.29500000000000004,0.5,0.39553064589503056,balanced,gini,2.0,1024.0,-1.0,0.9358000000000001,0.9456931132921911,0.9889296688749649,0.9339095883952331,DecisionTreeClassifier(class_weight='balanced'),gini,2.0,best,0.8761999999999999,0.8600622497496009,0.8979589611987873,0.876584637230445
2,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l1,saga,0.4984,0.29500000000000004,0.5,0.39553064589503056,balanced,gini,4.0,1024.0,-1.0,0.9412,0.9470329837112974,0.9890464881420507,0.9397658345584405,DecisionTreeClassifier(class_weight='balanced'),gini,4.0,best,0.8699999999999999,0.8605012175596134,0.913100423016348,0.8692004027140229
3,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l1,saga,0.5016,0.1966,0.5,0.26362716064033886,balanced,gini,6.0,1024.0,-1.0,0.9410000000000001,0.946700577199888,0.9889796640968468,0.9395915700880735,DecisionTreeClassifier(class_weight='balanced'),gini,6.0,best,0.8644000000000002,0.8552810987330016,0.9234298158586354,0.8635123333053659
4,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l1,saga,0.502,0.1968,0.5,0.2638069705093834,balanced,gini,8.0,1024.0,-1.0,0.9419999999999998,0.9449580493694484,0.9885035391070446,0.9407936603689523,DecisionTreeClassifier(class_weight='balanced'),gini,8.0,best,0.8533999999999999,0.8446439208395873,0.9215277978347425,0.8524881353974857
5,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l1,saga,0.502,0.1968,0.5,0.2638069705093834,balanced,gini,12.0,1024.0,-1.0,0.9418,0.9439229266069736,0.9871043311176667,0.940664345176964,DecisionTreeClassifier(class_weight='balanced'),gini,10.0,best,0.8516,0.8458701413944814,0.9236670308476536,0.8500013161725685
6,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l1,saga,0.6918,0.6735668252293614,0.7764880171137039,0.697640182935906,balanced,gini,16.0,1024.0,-1.0,0.937,0.9412639666976041,0.9854350508607744,0.9356071726458453,DecisionTreeClassifier(class_weight='balanced'),gini,12.0,best,0.8524,0.8492563085784252,0.9250758133990832,0.8500996658512208
7,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l1,saga,0.707,0.697424398934382,0.8035285495236517,0.705258986357587,balanced,entropy,1.0,1024.0,-1.0,0.9338000000000001,0.944661945279208,0.9872948040945946,0.9317235929342275,DecisionTreeClassifier(class_weight='balanced'),gini,14.0,best,0.8453999999999999,0.8407270438675425,0.9246312724422001,0.8432091907069502
8,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l1,saga,0.7123999999999999,0.7012830313108777,0.8046560659208414,0.7119896610950309,balanced,entropy,2.0,1024.0,-1.0,0.9380000000000001,0.9470253089102464,0.9890485062355772,0.9362354265560517,DecisionTreeClassifier(class_weight='balanced'),gini,16.0,best,0.8416,0.8332077797526825,0.9236822619828484,0.8402271351673395
9,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l1,saga,0.7106,0.6991361566301234,0.8047344880647802,0.7104907971857745,balanced,entropy,4.0,1024.0,-1.0,0.9404,0.9451501777874599,0.9892377517983071,0.939018390197863,DecisionTreeClassifier(class_weight='balanced'),entropy,1.0,best,0.8864000000000001,0.8843976821836532,0.8863897787973887,0.8846235377762515
